





























Type,Dates,Error
Found,2012-09-05 08:12:01.000000,1
Found,2012-10-16 08:56:19.000000,1
Found,2013-04-10 09:05:09.000000,1
Found,2013-09-18 09:22:03.000000,1
Found,2014-03-28 09:17:06.000000,1
Found,2014-07-14 09:06:09.000000,1
Found,2015-06-03 09:10:41.000000,1
Found,2016-05-25 11:29:25.000000,1
Found,2016-11-02 10:33:12.000000,1
Found,2018-10-24 09:18:57.000000,1
Found,2022-11-30 08:59:15.000000,1
Missed,2000-04-15 00:02:46.662401,2
Missed,2001-10-06 04:53:05.524988,2
Missed,2005-10-20 14:26:09.492739,2
Missed,2007-11-30 19:12:37.075040,2
Missed,2018-11-17 18:38:11.022631,2
Missed,2024-01-21 07:24:37.184692,2
Extra,2004-04-16 11:02:54.000000,2
Extra,2013-04-10 09:05:09.000000,2
Extra,2004-02-04 09:35:07.000000,2
Extra,2004-02-18 11:15:01.000000,2
Extra,2004-01-21 09:28:58.000000,2
Extra,2012-01-04 08:53:38.000000,2
Extra,2003-01-22 09:43:30.000000,2
Extra,2001-07-17 11:39:50.000000,2
Extra,2005-09-30 09:33:09.000000,2
Extra,2003-10-23 09:22:45.000000,2
Extra,2004-03-04 09:29:50.000000,2
Extra,2004-01-19 12:43:07.000000,2
Extra,2004-03-11 09:20:47.000000,2
Extra,2000-04-26 09:47:37.000000,2
Extra,2006-01-04 09:19:08.000000,2
Extra,2020-09-29 08:33:28.000000,2
Extra,2003-01-17 10:07:49.000000,2
Extra,2020-10-22 09:00:14.000000,2
Extra,2000-01-18 10:33:51.000000,2
Extra,2001-10-17 09:34:41.000000,2
Extra,2017-12-20 09:24:15.000000,2
Extra,2004-04-22 10:13:34.000000,2
Found,1999-07-07 09:38:07.000000,2
Found,1999-11-10 09:47:05.000000,2
Found,2002-11-27 09:29:03.000000,2
Found,2003-12-10 09:28:23.000000,2
Found,2006-06-07 09:03:02.000000,2
Found,2006-11-02 10:13:17.000000,2
Found,2008-10-08 09:37:49.000000,2
Found,2009-05-06 09:29:17.000000,2
Found,2010-05-19 06:37:09.000000,2
Found,2010-10-14 10:06:20.000000,2
Found,2012-09-05 08:12:01.000000,2
Found,2012-10-16 08:56:19.000000,2
Found,2013-09-18 09:22:03.000000,2
Found,2014-07-14 09:06:09.000000,2
Found,2015-06-03 09:10:41.000000,2
Found,2016-11-02 10:33:12.000000,2
Found,2018-10-24 09:18:57.000000,2
Found,2022-11-30 08:59:15.000000,2
Missed,2002-03-03 05:40:51.778527,3
Missed,2005-03-20 00:04:22.147860,3
Missed,2005-10-22 21:25:19.393218,3
Missed,2007-04-14 23:29:06.759672,3
Missed,2008-02-24 18:17:26.479282,3
Missed,2009-03-14 19:36:35.802603,3
Missed,2010-04-17 12:07:51.561867,3
Missed,2012-04-28 05:58:33.795205,3
Missed,2015-05-10 05:04:23.600361,3
Missed,2016-04-02 20:42:28.583791,3
Missed,2017-03-04 16:36:45.537535,3
Missed,2018-11-19 06:40:46.614870,3
Missed,2019-04-06 12:11:38.752944,3
Missed,2022-02-25 15:42:30.915684,3
Missed,2023-02-12 04:27:00.708607,3
Missed,2023-09-30 20:39:45.252718,3
Missed,2024-01-21 07:24:37.184692,3
Extra,2001-03-12 10:43:06.000000,3
Extra,2000-01-18 10:33:51.000000,3
Extra,2012-01-04 08:53:38.000000,3
Extra,2006-01-04 09:19:08.000000,3
Extra,2008-10-14 13:14:00.000000,3
Extra,2000-01-19 09:58:45.000000,3
Extra,2004-04-16 11:02:54.000000,3
Extra,2020-10-22 09:00:14.000000,3
Extra,2003-10-23 09:22:45.000000,3
Extra,2001-10-24 09:28:40.000000,3
Extra,2003-01-17 10:07:49.000000,3
Extra,2004-03-04 09:29:50.000000,3
Extra,2001-07-17 11:39:50.000000,3
Extra,2000-04-26 09:47:37.000000,3
Extra,2020-09-29 08:33:28.000000,3
Extra,2004-01-19 12:43:07.000000,3
Extra,2004-03-11 09:20:47.000000,3
Extra,2004-04-22 10:13:34.000000,3
Extra,2004-02-18 11:15:01.000000,3
Extra,2005-09-30 09:33:09.000000,3
Extra,2004-02-04 09:35:07.000000,3
Extra,2003-12-10 09:28:23.000000,3
Extra,2004-01-21 09:28:58.000000,3
Extra,2003-01-22 09:43:30.000000,3
Extra,2017-12-20 09:24:15.000000,3
Found,1999-07-07 09:38:07.000000,3
Found,1999-11-10 09:47:05.000000,3
Found,2000-04-17 14:00:53.000000,3
Found,2001-10-17 09:34:41.000000,3
Found,2002-11-27 09:29:03.000000,3
Found,2003-02-19 09:41:42.000000,3
Found,2006-06-07 09:03:02.000000,3
Found,2006-11-02 10:13:17.000000,3
Found,2008-10-08 09:37:49.000000,3
Found,2009-05-06 09:29:17.000000,3
Found,2010-05-19 06:37:09.000000,3
Found,2010-10-14 10:06:20.000000,3
Found,2012-09-05 08:12:01.000000,3
Found,2012-10-16 08:56:19.000000,3
Found,2013-04-10 09:05:09.000000,3
Found,2013-09-18 09:22:03.000000,3
Found,2014-03-28 09:17:06.000000,3
Found,2014-07-14 09:06:09.000000,3
Found,2015-06-03 09:10:41.000000,3
Found,2016-05-25 11:29:25.000000,3
Found,2016-11-02 10:33:12.000000,3
Found,2018-10-24 09:18:57.000000,3
Found,2022-11-30 08:59:15.000000,3
Missed,1999-08-14 16:56:20.022428,4
Missed,2002-08-15 10:13:40.429573,4
Missed,2003-08-02 03:25:33.170449,4
Missed,2003-10-18 11:35:07.410395,4
Missed,2005-07-23 05:58:43.374052,4
Missed,2007-07-15 14:26:43.363806,4
Missed,2012-07-13 20:17:10.414355,4
Missed,2016-09-03 06:18:26.356907,4
Missed,2019-11-09 04:08:49.685699,4
Missed,2022-07-25 07:44:02.506469,4
Missed,2023-03-08 19:41:46.242444,4
Extra,2007-08-02 09:05:27.000000,4
Extra,2024-04-03 08:51:59.000000,4
Extra,2005-12-07 09:12:34.000000,4
Extra,2002-06-06 10:00:26.000000,4
Extra,2012-12-05 09:11:06.000000,4
Extra,2010-09-16 05:21:48.000000,4
Extra,2003-02-12 09:56:07.000000,4
Extra,2022-11-15 09:10:29.000000,4
Extra,2004-02-04 09:35:07.000000,4
Extra,2010-04-21 05:35:08.000000,4
Extra,2004-04-22 10:13:34.000000,4
Extra,2001-03-02 10:55:53.000000,4
Extra,2019-02-06 09:19:04.000000,4
Extra,2007-09-11 14:51:48.000000,4
Extra,2006-11-08 09:33:59.000000,4
Extra,2020-11-10 09:22:37.000000,4
Extra,2008-02-27 09:34:04.000000,4
Extra,2006-08-02 09:24:01.000000,4
Extra,2005-03-24 10:11:30.000000,4
Extra,2017-12-20 09:24:15.000000,4
Extra,2023-12-07 08:59:20.000000,4
Extra,2004-03-11 09:20:47.000000,4
Extra,2000-01-18 10:33:51.000000,4
Extra,2018-03-21 09:24:00.000000,4
Extra,2010-11-17 06:32:16.000000,4
Extra,2021-06-16 08:56:32.000000,4
Extra,2000-04-10 09:21:42.000000,4
Extra,2012-10-09 09:04:32.000000,4
Extra,2001-04-25 09:39:01.000000,4
Extra,2014-07-14 09:06:09.000000,4
Extra,2003-02-19 09:41:42.000000,4
Extra,2004-12-08 09:42:14.000000,4
Extra,2017-03-08 05:39:18.000000,4
Extra,2020-09-29 08:33:28.000000,4
Extra,2003-08-27 09:26:39.000000,4
Extra,2013-11-27 08:57:12.000000,4
Extra,2022-11-09 09:18:31.000000,4
Extra,2007-01-17 09:29:44.000000,4
Extra,2004-01-19 12:43:07.000000,4
Extra,2021-03-09 09:05:19.000000,4
Extra,2009-12-22 05:08:46.000000,4
Extra,2016-05-25 11:29:25.000000,4
Extra,2023-02-08 08:59:26.000000,4
Extra,2002-03-15 10:00:17.000000,4
Extra,2008-09-17 09:27:41.000000,4
Extra,2016-01-06 09:17:37.000000,4
Extra,2004-02-18 11:15:01.000000,4
Extra,2008-06-04 09:29:33.000000,4
Extra,2008-10-14 13:14:00.000000,4
Extra,2009-04-15 09:13:01.000000,4
Extra,2019-01-17 09:27:39.000000,4
Extra,2003-04-09 09:39:56.000000,4
Extra,2005-06-01 10:32:18.000000,4
Extra,2014-11-12 11:02:51.000000,4
Extra,2006-11-02 10:13:17.000000,4
Extra,2000-04-19 10:14:45.000000,4
Extra,2017-11-28 09:28:30.000000,4
Extra,2012-10-22 09:01:36.000000,4
Extra,2022-07-07 08:49:31.000000,4
Extra,2002-03-20 10:54:53.000000,4
Extra,2006-01-31 13:30:10.000000,4
Extra,2014-03-28 09:17:06.000000,4
Extra,2023-04-12 08:59:43.000000,4
Extra,2004-01-21 09:28:58.000000,4
Extra,2007-03-28 09:12:38.000000,4
Extra,2019-11-20 09:31:21.000000,4
Extra,2003-01-22 09:43:30.000000,4
Extra,2023-02-15 09:03:43.000000,4
Extra,2011-06-08 06:29:00.000000,4
Extra,2004-04-28 09:27:21.000000,4
Extra,2005-05-18 09:18:18.000000,4
Extra,2012-10-16 08:56:19.000000,4
Extra,2009-03-10 13:01:39.000000,4
Extra,2022-06-01 09:04:36.000000,4
Extra,2010-02-10 06:55:32.000000,4
Extra,2006-05-03 08:11:13.000000,4
Extra,2013-04-10 09:05:09.000000,4
Extra,2006-05-31 08:59:57.000000,4
Extra,2009-03-26 10:36:03.000000,4
Extra,2000-04-20 09:24:21.000000,4
Extra,2002-11-27 09:29:03.000000,4
Extra,2023-09-06 09:04:59.000000,4
Extra,2021-03-23 02:09:14.000000,4
Extra,2007-06-27 09:25:23.000000,4
Extra,2016-01-20 09:20:12.000000,4
Extra,2004-05-19 09:14:16.000000,4
Extra,2008-06-25 09:40:20.000000,4
Extra,2005-06-22 09:33:25.000000,4
Extra,2001-04-19 10:40:16.000000,4
Extra,2015-01-07 09:28:34.000000,4
Extra,2004-03-04 09:29:50.000000,4
Extra,2011-11-23 10:11:51.000000,4
Extra,1999-12-16 09:50:42.000000,4
Extra,2000-12-27 09:31:04.000000,4
Extra,2013-09-18 09:22:03.000000,4
Extra,2004-04-16 11:02:54.000000,4
Extra,2006-01-04 09:19:08.000000,4
Extra,2006-03-22 10:58:04.000000,4
Extra,1999-07-07 09:38:07.000000,4
Extra,2015-05-27 09:16:32.000000,4
Extra,2010-10-14 10:06:20.000000,4
Extra,2023-12-20 09:10:29.000000,4
Extra,2006-06-28 09:24:37.000000,4
Extra,2017-05-24 09:14:58.000000,4
Extra,2023-08-02 08:55:29.000000,4
Extra,2002-12-04 08:53:41.000000,4
Extra,2000-06-28 09:32:10.000000,4
Extra,2020-01-09 09:36:50.000000,4
Extra,2001-10-17 09:34:41.000000,4
Extra,2006-01-26 09:13:32.000000,4
Extra,2007-07-04 09:22:50.000000,4
Extra,2013-01-08 09:23:42.000000,4
Extra,2001-02-21 10:48:26.000000,4
Extra,2009-12-16 05:34:27.000000,4
Extra,2007-05-02 09:15:48.000000,4
Extra,2005-08-24 09:22:28.000000,4
Extra,2001-06-06 09:14:49.000000,4
Extra,2003-04-16 09:34:34.000000,4
Extra,2000-04-17 14:00:53.000000,4
Extra,2002-01-09 09:59:20.000000,4
Extra,1999-11-10 09:47:05.000000,4
Extra,2000-01-19 09:58:45.000000,4
Extra,2000-04-26 09:47:37.000000,4
Extra,2015-05-13 09:30:00.000000,4
Extra,2013-03-21 09:29:22.000000,4
Extra,2006-07-12 09:10:04.000000,4
Extra,2022-03-01 08:54:12.000000,4
Extra,2016-11-02 10:33:12.000000,4
Extra,2024-03-20 10:44:58.000000,4
Extra,2023-03-29 08:56:36.000000,4
Extra,2014-01-23 09:43:59.000000,4
Extra,2022-11-30 08:59:15.000000,4
Extra,2022-02-16 09:02:44.000000,4
Extra,2005-12-14 09:30:23.000000,4
Extra,2011-10-27 15:05:26.000000,4
Extra,2001-09-19 09:18:22.000000,4
Extra,2011-03-31 13:22:05.000000,4
Extra,2012-05-09 09:13:41.000000,4
Extra,2003-12-10 09:28:23.000000,4
Found,2001-08-01 09:52:56.000000,4
Found,2005-09-30 09:33:09.000000,4
Found,2006-07-05 09:29:29.000000,4
Found,2008-08-20 09:07:05.000000,4
Found,2009-07-22 09:08:10.000000,4
Found,2010-09-08 05:43:08.000000,4
Found,2011-09-01 09:35:41.000000,4
Found,2012-09-05 08:12:01.000000,4
Found,2013-07-09 08:36:05.000000,4
Found,2015-08-05 09:36:15.000000,4
Found,2017-06-28 09:47:20.000000,4
Found,2021-11-26 09:25:52.000000,4
Found,2022-09-21 08:46:21.000000,4
